 
[*] Checkpoint   = epoch.ckpt
[*] Input video  = trial.mp4
[*] Output video = trial_output.mp4
[✓] Docker image 'segformer' already exists. Skipping build.
[Frame 434] FPS: 6.06
[Frame 435] FPS: 5.97
[Frame 436] FPS: 6.03
[Frame 437] FPS: 7.02
[Frame 438] FPS: 5.63
[Frame 439] FPS: 5.60
[Frame 440] FPS: 5.54
[Frame 441] FPS: 5.09
[Frame 442] FPS: 5.14
[Frame 443] FPS: 5.60
[Frame 444] FPS: 5.54
[Frame 445] FPS: 6.05
[Frame 446] FPS: 5.61
[Frame 447] FPS: 5.71
[Frame 448] FPS: 5.74
[Frame 449] FPS: 5.24
[Frame 450] FPS: 5.58
[Frame 451] FPS: 5.63
[Frame 452] FPS: 5.86
[Frame 453] FPS: 6.07
[Frame 454] FPS: 5.87
[Frame 455] FPS: 5.90
[Frame 456] FPS: 6.69
[Frame 457] FPS: 5.87
[Frame 458] FPS: 5.70
[Frame 459] FPS: 6.60
[Frame 460] FPS: 5.72
[Frame 461] FPS: 5.85
[Frame 462] FPS: 5.48
[Frame 463] FPS: 6.18
[Frame 464] FPS: 7.06
[Frame 465] FPS: 6.03
[Frame 466] FPS: 6.07
[Frame 467] FPS: 6.12
[Frame 468] FPS: 5.67
[Frame 469] FPS: 6.05
[Frame 470] FPS: 5.45
[Frame 471] FPS: 5.56
[Frame 472] FPS: 5.62
[Frame 473] FPS: 5.86
[Frame 474] FPS: 5.92
[Frame 475] FPS: 6.24
[Frame 476] FPS: 5.96
[Frame 477] FPS: 5.91
[Frame 478] FPS: 6.11
[Frame 479] FPS: 5.91
[Frame 480] FPS: 6.42
[Frame 481] FPS: 5.68
[Frame 482] FPS: 6.98
[Frame 483] FPS: 5.99
[Frame 484] FPS: 6.56
[Frame 485] FPS: 5.97
[Frame 486] FPS: 5.33
[Frame 487] FPS: 6.18
[Frame 488] FPS: 7.15
[Frame 489] FPS: 6.08
[Frame 490] FPS: 5.72
[Frame 491] FPS: 5.85
[Frame 492] FPS: 6.66
[Frame 493] FPS: 6.17
[Frame 494] FPS: 5.86
[Frame 495] FPS: 6.18
[Frame 496] FPS: 5.77
[Frame 497] FPS: 5.63
[Frame 498] FPS: 6.63
[Frame 499] FPS: 5.84
[Frame 500] FPS: 6.76
[Frame 501] FPS: 6.06
[Frame 502] FPS: 5.72
[Frame 503] FPS: 5.75
[Frame 504] FPS: 5.51
[Frame 505] FPS: 5.45
[Frame 506] FPS: 6.11
[Frame 507] FPS: 6.38
[Frame 508] FPS: 5.64
[Frame 509] FPS: 5.61
[Frame 510] FPS: 6.10
[Frame 511] FPS: 5.37
[Frame 512] FPS: 6.06
[Frame 513] FPS: 5.75
[Frame 514] FPS: 5.49
[Frame 515] FPS: 7.13
[Frame 516] FPS: 6.25
[Frame 517] FPS: 6.93
[Frame 518] FPS: 5.96
[Frame 519] FPS: 5.98
[Frame 520] FPS: 6.13
[Frame 521] FPS: 5.82
[Frame 522] FPS: 6.19
[Frame 523] FPS: 6.63
[Frame 524] FPS: 6.24
[Frame 525] FPS: 5.44
[Frame 526] FPS: 5.96
[Frame 527] FPS: 6.29
[Frame 528] FPS: 6.41
[Frame 529] FPS: 6.07
[Frame 530] FPS: 5.91
[Frame 531] FPS: 6.04
[Frame 532] FPS: 6.24
[Frame 533] FPS: 5.83
[Frame 534] FPS: 6.20
[Frame 535] FPS: 5.59
[Frame 536] FPS: 4.85
[Frame 537] FPS: 5.62
[Frame 538] FPS: 6.70
[Frame 539] FPS: 6.03
[Frame 540] FPS: 6.20
[Frame 541] FPS: 6.02
[Frame 542] FPS: 5.79
[Frame 543] FPS: 5.84
[Frame 544] FPS: 5.76
[Frame 545] FPS: 5.77
[Frame 546] FPS: 6.12
[Frame 547] FPS: 6.32
[Frame 548] FPS: 5.40
[Frame 549] FPS: 5.88
[Frame 550] FPS: 5.70
[Frame 551] FPS: 5.87
[Frame 552] FPS: 5.96
[Frame 553] FPS: 6.22
[Frame 554] FPS: 5.93
[Frame 555] FPS: 5.63
[Frame 556] FPS: 5.98
[Frame 557] FPS: 5.55
[Frame 558] FPS: 5.62
[Frame 559] FPS: 6.50
[Frame 560] FPS: 5.58
[Frame 561] FPS: 6.48
[Frame 562] FPS: 6.27
[Frame 563] FPS: 6.84
[Frame 564] FPS: 5.64
[Frame 565] FPS: 6.40
[Frame 566] FPS: 5.79
[Frame 567] FPS: 5.96
[Frame 568] FPS: 6.35
[Frame 569] FPS: 6.50
[Frame 570] FPS: 6.15
[Frame 571] FPS: 6.20
[Frame 572] FPS: 5.98
[Frame 573] FPS: 5.94
[Frame 574] FPS: 6.25
[Frame 575] FPS: 6.15
[Frame 576] FPS: 5.97
[Frame 577] FPS: 6.19
[Frame 578] FPS: 5.43
[Frame 579] FPS: 5.86
[Frame 580] FPS: 5.87
[Frame 581] FPS: 6.71
[Frame 582] FPS: 5.63
[Frame 583] FPS: 5.70
[Frame 584] FPS: 6.38
[Frame 585] FPS: 5.59
[Frame 586] FPS: 5.90
[Frame 587] FPS: 5.64
[Frame 588] FPS: 5.71
[Frame 589] FPS: 6.11
[Frame 590] FPS: 6.18
[Frame 591] FPS: 6.42
[Frame 592] FPS: 5.51
[Frame 593] FPS: 5.59
[Frame 594] FPS: 5.52
[Frame 595] FPS: 6.34
[Frame 596] FPS: 5.78
[Frame 597] FPS: 5.37
[Frame 598] FPS: 5.34
[Frame 599] FPS: 5.70
[Frame 600] FPS: 5.91
[Frame 601] FPS: 5.43
[Frame 602] FPS: 6.10
[Frame 603] FPS: 5.60
[Frame 604] FPS: 5.90
[Frame 605] FPS: 5.48
[Frame 606] FPS: 5.60
[Frame 607] FPS: 6.18
[Frame 608] FPS: 5.85
[Frame 609] FPS: 5.61
[Frame 610] FPS: 6.30
[Frame 611] FPS: 5.77
[Frame 612] FPS: 5.73
[Frame 613] FPS: 6.08
[Frame 614] FPS: 6.76
[Frame 615] FPS: 5.84
[Frame 616] FPS: 5.87
[Frame 617] FPS: 6.08
[Frame 618] FPS: 5.64
[Frame 619] FPS: 6.17
[Frame 620] FPS: 6.48
[Frame 621] FPS: 6.26
[Frame 622] FPS: 6.00
[Frame 623] FPS: 5.97
[Frame 624] FPS: 6.85
[Frame 625] FPS: 6.37
[Frame 626] FPS: 6.05
[Frame 627] FPS: 6.23
[Frame 628] FPS: 5.96
[Frame 629] FPS: 6.50
[Frame 630] FPS: 6.04
[Frame 631] FPS: 6.93
[Frame 632] FPS: 6.94
[Frame 633] FPS: 6.13
[Frame 634] FPS: 6.30
[Frame 635] FPS: 6.26
[Frame 636] FPS: 6.11
[Frame 637] FPS: 6.20
[Frame 638] FPS: 5.94
[Frame 639] FPS: 6.19
[Frame 640] FPS: 6.96
[Frame 641] FPS: 6.18
[Frame 642] FPS: 6.95
[Frame 643] FPS: 6.02
[Frame 644] FPS: 6.10
[Frame 645] FPS: 6.24
[Frame 646] FPS: 5.98
[Frame 647] FPS: 5.75
[Frame 648] FPS: 5.69
[Frame 649] FPS: 6.17
[Frame 650] FPS: 6.44
[Frame 651] FPS: 6.80
[Frame 652] FPS: 6.24
[Frame 653] FPS: 5.90
[Frame 654] FPS: 6.75
[Frame 655] FPS: 7.21
[Frame 656] FPS: 6.21
[Frame 657] FPS: 6.11
[Frame 658] FPS: 6.56
[Frame 659] FPS: 6.04
[Frame 660] FPS: 6.10
[Frame 661] FPS: 6.13
[Frame 662] FPS: 6.17
[Frame 663] FPS: 6.48
[Frame 664] FPS: 5.98
[Frame 665] FPS: 7.65
[Frame 666] FPS: 6.31
[Frame 667] FPS: 5.71
[Frame 668] FPS: 6.63
[Frame 669] FPS: 6.22
[Frame 670] FPS: 6.18
[Frame 671] FPS: 6.48
[Frame 672] FPS: 5.91
[Frame 673] FPS: 5.51
[Frame 674] FPS: 6.12
[Frame 675] FPS: 6.03
[Frame 676] FPS: 5.99
[Frame 677] FPS: 6.01
[Frame 678] FPS: 5.99
[Frame 679] FPS: 5.70
[Frame 680] FPS: 6.05
[Frame 681] FPS: 6.75
[Frame 682] FPS: 6.73
[Frame 683] FPS: 6.34
[Frame 684] FPS: 6.84
[Frame 685] FPS: 6.50
[Frame 686] FPS: 5.50
[Frame 687] FPS: 5.85
[Frame 688] FPS: 7.10
[Frame 689] FPS: 6.16
[Frame 690] FPS: 5.90
[Frame 691] FPS: 5.82
[Frame 692] FPS: 5.89
[Frame 693] FPS: 6.20
[Frame 694] FPS: 6.40
